year;month;title_length;authors_no;pages_no;views;cited;url;title;authors
2023;3;65;1;20;286;0;https://www.vopreco.ru/jour/article/view/4048;Ипотечное кредитование и цены на жилье: необоснованные обвинения?;А.В.Мишура
2023;3;48;1;19;399;0;https://www.vopreco.ru/jour/article/view/4107;Эффективность больших городов: теория и эмпирика;Л.В.Мельникова
2023;3;96;3;24;375;0;https://www.vopreco.ru/jour/article/view/4168;Влияют ли новые предприятия на рост занятости в регионах России: кратко- и среднесрочные эффекты;Д.Р.Салимова, Ю.В.Царева, С.П.Земцов
2023;3;63;1;33;501;0;https://www.vopreco.ru/jour/article/view/4120;Монетизация экономики: показатель, который ничего не показывает;Е.Л.Горюнов
2023;4;80;2;24;637;0;https://www.vopreco.ru/jour/article/view/4318;Оценка макроэкономических эффектов от ожидаемого сокращения нефтегазовых доходов;М.Ю.Андреев, А.В.Полбин
2023;4;79;2;16;207;0;https://www.vopreco.ru/jour/article/view/3612;Таргетирование средней инфляции в условиях адаптивного обучения частных агентов;А.Р.Авакян, О.С.Кузнецова
2023;4;75;2;22;308;0;https://www.vopreco.ru/jour/article/view/4080;Лесная промышленность России в условиях санкций: потери и новые возможности;Р.ВГордеев, А.И.Пыжев
2023;4;96;1;18;158;0;https://www.vopreco.ru/jour/article/view/4062;Влияние государственной поддержки на сельскохозяйственных производителей и потребителей в России;О.В.Шик
2023;4;68;3;18;243;0;https://www.vopreco.ru/jour/article/view/4165;Репродуктивные намерения россиян с детьми в начале пандемии COVID-19;Е.С.Вакуленко, Е.С.Митрофанова, Д.И.Горский
2023;4;42;1;16;224;0;https://www.vopreco.ru/jour/article/view/4266;Теоретическая экономика Ричарда Кантильона;О.И.Ананьин
2023;4;78;1;16;143;0;https://www.vopreco.ru/jour/article/view/4232;Экономический анализ демонстративного расточительства: история и современность;Т.М.Шишкина
2023;4;96;1;16;157;0;https://www.vopreco.ru/jour/article/view/4207;Предоставление научными журналами общественно полезных услуг должно финансироваться государством;В.Е.Дементьев
2023;4;71;1;10;234;0;https://www.vopreco.ru/jour/article/view/4135;Инфляция и неравенство: исследование взаимосвязи в региональном аспекте;С.В.Арженовский
2023;5;71;3;18;1476;0;https://www.vopreco.ru/jour/article/view/4283;Оценка влияния бюджетных правил на цикличность государственных расходов;А.Л.Кудрин, И.А.Соколов, О.В.Сучкова
2023;5;52;2;27;238;0;https://www.vopreco.ru/jour/article/view/4155;Федеральные трансферты: фактор роста долга регионов?;Е.Н.Тимушев, А.А.Михайлова
2023;5;78;2;18;234;0;https://www.vopreco.ru/jour/article/view/4464;Институциональный  ответ на технологические изменения в сфере телекоммуникаций;А.Е.Шаститко, К.А.Ионкина
2023;5;52;2;23;239;0;https://www.vopreco.ru/jour/article/view/4323;Эффекты антитраста: уроки для доказательной политики;А.Ю.Ставнийчук, Н.С.Павлова
2023;5;95;3;15;177;0;https://www.vopreco.ru/jour/article/view/4260;Оценка потерь продовольствия на этапе сельскохозяйственного производства в Российской Федерации;Н.А.Карлова, П.Н.Паюрова, Е.А.Галактионова
2023;5;77;3;25;150;0;https://www.vopreco.ru/jour/article/view/3833;Экологически ответственное поведение: представления малого и среднего бизнеса;Л.М.Чеглакова, Б.С.Батаева, О.А.Мелитонян
2023;5;36;1;17;203;0;https://www.vopreco.ru/jour/article/view/3904;О нематериальном культурном капитале;В.Б.Студенцов
2023;5;42;2;13;335;0;https://www.vopreco.ru/jour/article/view/4376;Санкционные меры внутри Европейского Союза;М.В.Клинова, Е.А.Сидорова
2023;6;38;1;31;348;0;https://www.vopreco.ru/jour/article/view/4158;«Рандомисты»: новая экономика развития;Р.И.Капелюшников
2023;6;51;1;26;197;0;https://www.vopreco.ru/jour/article/view/3930;Факторы ценообразования розничных кредитов в России;Г.И.Пеникас
2023;6;80;2;14;133;0;https://www.vopreco.ru/jour/article/view/4201;Моделирование структуры корпоративного капитала с применением формулы приращений;Е.Г.Демидова, Е.М.Богатов
2023;6;89;3;18;260;0;https://www.vopreco.ru/jour/article/view/3885;Связь финансов и роста в России: работает ли канал малого и среднего предпринимательства?;К.В.Криничанский, М.А.Юревич, А.В.Фатькин
2023;6;65;3;23;276;0;https://www.vopreco.ru/jour/article/view/4200;Заработная плата, возраст и экономический рост: оценки для России;А.В.Замниус, А.В.Полбин, С.Г.Синельников-Мурылев
2023;6;114;1;21;203;0;https://www.vopreco.ru/jour/article/view/4333;Анализ эффективности региональных финансовых моделей социального обеспечения населения России на основе метода DEA;М.Л.Дорофеев
2023;6;68;1;21;239;0;https://www.vopreco.ru/jour/article/view/4374;Авторский капитал и реформирование российской публикационной системы;В.М.Полтерович
2023;7;46;4;30;392;0;https://www.vopreco.ru/jour/article/view/4444;Причины и уроки ускорения глобальной  инфляции;Е.Л.Горюнов, С.М.Дробышевский, А.Л.Кудрин, П.В.Трунин
2023;7;100;1;15;192;0;https://www.vopreco.ru/jour/article/view/4351;Дом, который построил  Кейнс: косметический  и капитальный ремонт модели  денежно-кредитной политики;С.Р.Моисеев
2023;7;70;2;31;173;0;https://www.vopreco.ru/jour/article/view/4479;Человек  в меняющемся  мире: как координировать индивидуальные  планы?;А.Е.Шаститко, С.И.Федоров
2023;7;78;6;19;209;0;https://www.vopreco.ru/jour/article/view/4469;Методология нарративного анализа в экономике: случай предпринимательских сетей;В.Л.Тамбовцев, Е.В.Бузулукова, Л.А.Валитова, Ц.Дэн, Д.А.Ситкевич, А.М.Турабаева
2023;7;62;1;15;173;0;https://www.vopreco.ru/jour/article/view/4409;Членство  России в ВТО: оценка воздействия на внешнюю торговлю;А.М.Калинин
2023;7;100;2;27;509;0;https://www.vopreco.ru/jour/article/view/4132;Долгосрочное влияние экстрактивных и инклюзивных институтов на деловую активность в регионах  России;С.П.Земцов, Ю.В.Царева
2023;7;64;1;17;25443;0;https://www.vopreco.ru/jour/article/view/4555;Неплатежи в pоссийской экономике 1990-х: непредвиденный институт;А.Б.Чубайс
2022;1;104;1;18;840;0;https://www.vopreco.ru/jour/article/view/3810;Вместо лаборатории: анализ данных естественных экспериментов (Нобелевская премия по экономике 2021 года);К.И.Сонин
2022;1;60;2;24;932;5;https://www.vopreco.ru/jour/article/view/3629;Коузианство против пигувианства: идеи, ценности, перспективы;А.Е.Шаститко, Н.С.Павлова
2022;1;97;2;25;874;5;https://www.vopreco.ru/jour/article/view/3074;Институциональные изменения, неравенство и долгосрочное экономическое развитие: теория и эмпирика;Д.А.Веселов, А.М.Яркин
2022;1;66;4;18;802;12;https://www.vopreco.ru/jour/article/view/3697;Возможности и риски политики климатического регулирования в России;Б.Н.Порфирьев, А.А.Широв, А.Ю.Колпаков, Е.А.Единак
2022;1;59;1;20;913;9;https://www.vopreco.ru/jour/article/view/3811;Углеродное регулирование в ЕС и российский сырьевой экспорт;И.А.Башмаков
2022;1;54;1;16;519;1;https://www.vopreco.ru/jour/article/view/3604;Влияние «зеленого» курса на импорт меди из России в ЕС;Д.А.Чупина
2022;1;60;1;21;499;1;https://www.vopreco.ru/jour/article/view/3194;Количественная оценка бесплатных цифровых благ в составе ВВП;С.Г.Маричев
2022;1;55;2;14;568;1;https://www.vopreco.ru/jour/article/view/3530;Регулирование инвестиционных операций в исламском праве;Ш.А.Шовхалов, М.Р.Абдулмуслимов
2022;2;86;1;28;988;0;https://www.vopreco.ru/jour/article/view/3856;30 лет экономических реформ на постсоветском пространстве: макроэкономические процессы;М.П.Домбровски
2022;2;47;1;36;996;7;https://www.vopreco.ru/jour/article/view/3705;Анатомия коронакризиса через призму рынка труда;Р.И.Капелюшников
2022;2;68;1;26;1012;12;https://www.vopreco.ru/jour/article/view/3706;Зарплата и потоки на российском рынке труда в условиях коронакризиса;В.Е.Гимпельсон
2022;2;73;3;25;717;1;https://www.vopreco.ru/jour/article/view/3672;Аутсорсинг социальных услуг некоммерческому сектору: экономический анализ;Н.В.Зобернюс, Л.И.Полищук, И.Л.Шагалов
2022;2;118;2;27;482;1;https://www.vopreco.ru/jour/article/view/2521;Государственные субсидии и производительность сельскохозяйственных предприятий на примере российского Дальнего Востока;О.Г.Васильева, А.М.Билько
2022;2;120;1;11;602;3;https://www.vopreco.ru/jour/article/view/3828;Несовершенные институты и реформы (О книге Трауинна Эггертссона «Несовершенные институты. Возможности и границы реформ»);А.Е.Шаститко
2022;3;62;1;24;1189;6;https://www.vopreco.ru/jour/article/view/3896;Экономическая политика в условиях пандемии: опыт 2021—2022 гг.;В.А.Мау
2022;3;59;2;23;1239;6;https://www.vopreco.ru/jour/article/view/3732;Структура темпов роста ВВП России на перспективу до 2024 г.;П.Н.Павлов, С.М.Дробышевский
2022;3;69;1;25;843;2;https://www.vopreco.ru/jour/article/view/3664;Форсайт как инструмент формирования и управления экосистемой компании;А.А.Чулок
2022;3;54;2;21;400;1;https://www.vopreco.ru/jour/article/view/3750;Стилизованный цикл жизни  быстрорастущих фирм в России;Е.И.Баранова, А.Ю.Юданов
2022;3;51;2;20;538;1;https://www.vopreco.ru/jour/article/view/3574;Оценка потребительского поведения домохозяйств в РФ;П.К.Коваль, А.В.Полбин
2022;3;121;2;14;355;1;https://www.vopreco.ru/jour/article/view/3649;О поселенческих и региональных различиях в воздействии продовольственного эмбарго на потребительские расходы домохозяйств;Е.В.Берендеева, Т.А.Ратникова
2022;3;133;1;15;532;1;https://www.vopreco.ru/jour/article/view/3813;Социальная экономика: что отказываются признавать экономисты? (О книге А. Витцтума «Предательство  либеральной экономической теории»);М.С.Сушенцова
2022;3;81;2;14;481;0;https://www.vopreco.ru/jour/article/view/3499;Интеграция цепочек поставок как форма вертикального взаимодействия в теории фирмы;С.П.Петров, В.М.Гильмундинов
2022;4;121;1;21;621;2;https://www.vopreco.ru/jour/article/view/3624;Интеллектуальный капитал в понятийно-категориальном аппарате экономической науки: критическое осмысление и систематизация;П.Ю.Макаров
2022;4;78;1;19;480;5;https://www.vopreco.ru/jour/article/view/3949;Социальное лидерство, расщепление власти и инклюзивное управление организацией;Г.Б.Клейнер
2022;4;47;1;25;413;1;https://www.vopreco.ru/jour/article/view/3727;Будущее плюралистичной институциональной теории;Д.П.Фролов
2022;4;51;1;25;482;1;https://www.vopreco.ru/jour/article/view/3693;Вторая русская революция в исторической перспективе;К.И.Сонин
2022;4;132;1;21;393;0;https://www.vopreco.ru/jour/article/view/3804;Стабильность и изменчивость российского экономического дискурса (Контент-анализ публикаций в «Вопросах экономики» в 1989—2021 годах);А.Н.Олейник
2022;4;79;1;17;513;0;https://www.vopreco.ru/jour/article/view/3951;Стимулирование инноваций в России: ограничения и возможности налоговой политики;Т.А.Логинова
2022;4;33;2;13;657;2;https://www.vopreco.ru/jour/article/view/3952;Национализировать нельзя оставить;А.Е.Шаститко, А.И.Мелешкина
2022;4;127;2;15;456;0;https://www.vopreco.ru/jour/article/view/3830;Возвращение расколотой цивилизации (О книге В. Л. Иноземцева «Экономика без догм. Как США создают новый экономический порядок»);Ал.А.Мальцев, Ан.А.Мальцев
2022;5;66;5;21;974;6;https://www.vopreco.ru/jour/article/view/3993;Инфляционные вызовы периода пандемии и санкций. Уроки для будущего;Н.В.Акиндинова, В.А.Бессонов, С.Г.Пухов, И.Н.Сафонов, С.В.Смирнов
2022;5;65;2;25;467;0;https://www.vopreco.ru/jour/article/view/3607;Мониторинг российского делового цикла на основе ежедневных данных;С.В.Смирнов, С.С.Смирнов
2022;5;81;1;28;329;0;https://www.vopreco.ru/jour/article/view/3866;Прогнозы развития энергетики мира 30 лет спустя: проверка прошлым уроков будущего;И.А.Башмаков
2022;5;72;2;20;341;0;https://www.vopreco.ru/jour/article/view/3616;Влияние региональных условий на бизнес-демографию российских ИТ‑компаний;А.И.Иванова, Н.А.Кравченко
2022;5;81;2;22;501;2;https://www.vopreco.ru/jour/article/view/3007;Концепция технологической инновационной системы: основные положения и возможности;Т.А.Невзорова, В.Г.Кучеров
2022;5;53;1;15;271;0;https://www.vopreco.ru/jour/article/view/3752;К критике и в защиту концепции «власти-собственности»;Д.В.Трубицын
2022;5;120;1;11;376;0;https://www.vopreco.ru/jour/article/view/3665;Оценка численности и состава рабочей силы в платформенной занятости в России: в поисках эффективного метода исследования;А.В.Серова
2022;5;62;0;14;237;0;https://www.vopreco.ru/jour/article/view/3995;Ответ российского бизнеса на пандемию (Круглый стол в НИУ ВШЭ);
2022;6;109;3;21;861;8;https://www.vopreco.ru/jour/article/view/4038;Российская промышленная политика в условиях трансформации системы мирового производства и жестких ограничений;Ю.В.Симачев, А.А.Федюнина, М.Г.Кузык
2022;6;97;1;16;323;2;https://www.vopreco.ru/jour/article/view/3909;Риски. Чувства. Капитал. О концепции чувствительности регулятивного банковского капитала к рискам;А.Ю.Симановский
2022;6;98;2;27;717;1;https://www.vopreco.ru/jour/article/view/3735;Стейблкойны как новая форма цифровых денег: эмиссия, обращение, регулирование и управление рисками;С.А.Андрюшин, Д.А.Кочергин
2022;6;55;1;22;510;0;https://www.vopreco.ru/jour/article/view/3529;Исламские финансы глазами бизнеса и населения стран СНГ;А.З.Нагимова
2022;6;46;1;19;533;1;https://www.vopreco.ru/jour/article/view/3871;Искусственный интеллект в общественном секторе;О.В.Буклемишев
2022;6;80;1;16;551;1;https://www.vopreco.ru/jour/article/view/3857;Государство и энергетическая безопасность в мире и Европе как общественное благо;М.В.Клинова
2022;6;59;1;18;911;0;https://www.vopreco.ru/jour/article/view/3731;Экспорт высокотехнологичной продукции Китая в 2000—2020 гг.;О.А.Авдеева
2022;6;196;1;13;317;0;https://www.vopreco.ru/jour/article/view/3933;Уроки кризиса  (О книге «Ответ российского бизнеса на пандемию COVID-19 (на примере шести отраслевых кейсов) / Под науч. ред. Т. Г. Долгопятовой, Н. В. Акиндиновой, Ю. В. Симачева, А. А. Яковлева);Л.С.Ружанская
2022;6;70;1;2;389;0;https://www.vopreco.ru/jour/article/view/3791;Кузьминов Я. И., Юдкевич М. М. Университеты в России: как это работает;М.И.Левин
2022;6;48;1;2;270;0;https://www.vopreco.ru/jour/article/view/3742;Клейнер Г. Б. Системная экономика: шаги развития;Д.Б.Кувалин
2022;7;43;2;22;398;2;https://www.vopreco.ru/jour/article/view/3503;Фискальная консолидация в условиях пандемии;А.В.Зубарев, К.В.Нестерова
2022;7;98;1;19;374;0;https://www.vopreco.ru/jour/article/view/3355;Повышение ставки НДС, государственные расходы, экономический рост и отраслевые эффекты: CGE анализ;Д.В.Скрыпник
2022;7;69;1;22;555;2;https://www.vopreco.ru/jour/article/view/3881;Взятки или связи? Какая форма коррупции «смазывает колеса» экономики?;М.В.Кравцова
2022;7;103;2;17;327;0;https://www.vopreco.ru/jour/article/view/3673;Оценка влияния уголовного преследования предпринимателей на развитие малого и среднего бизнеса в России;И.Б.Юдин, Г.А.Поросенков
2022;7;79;1;19;278;0;https://www.vopreco.ru/jour/article/view/3880;Урегулирование конфликтов в сфере государственных закупок в России и Казахстане;Ю.Д.Родионова
2022;7;51;1;19;418;1;https://www.vopreco.ru/jour/article/view/3911;Три источника и три героя маржиналистской революции;В.С.Автономов
2022;7;83;3;17;277;0;https://www.vopreco.ru/jour/article/view/3136;Наемная плата за жилье в городах Российской империи в 1910 году: вариация и факторы;А.Я.Райковская, М.А.Таланцева, К.А.Холодилин
2022;7;87;2;15;206;0;https://www.vopreco.ru/jour/article/view/3831;Деятельность расчетных отделов при Государственном банке Российской империи (1898—1917);П.В.Лизунов, В.В.Морозан
2022;7;97;2;3;359;0;https://www.vopreco.ru/jour/article/view/3932;Маршев В. И. История управленческой мысли. 2-е изд., перераб. и доп. М.: Проспект, 2021. — 944 с.;А.З.Бобылева, В.М.Аньшин
2022;8;47;6;27;893;2;https://www.vopreco.ru/jour/article/view/4087;Социальная защита в России:   развилки будущего;Л.Н.Овчарова, О.В.Синявская, С.С.Бирюкова, Е.А.Горина, М.А.Нагерняк, А.И.Пишняк
2022;8;80;1;16;474;0;https://www.vopreco.ru/jour/article/view/4088;Является ли страховой российская система обязательного медицинского страхования?;С.В.Шишкин
2022;8;49;2;20;725;0;https://www.vopreco.ru/jour/article/view/4089;Экономика и счастье в России: эмпирический анализ;О.Н.Антипина, А.Д.Кривицкая
2022;8;58;2;27;595;1;https://www.vopreco.ru/jour/article/view/4090;Рутинность и риски автоматизации на российском рынке труда;В.Е.Гимпельсон, Р.И.Капелюшников
2022;8;85;4;23;690;0;https://www.vopreco.ru/jour/article/view/4091;Влияние численности занятых на заработную плату и цены на жилье в российских регионах;М.А.Гильтман, Л.В.Антосик, Ю.А.Варламова, Н.И.Ларионова
2022;8;70;3;15;341;1;https://www.vopreco.ru/jour/article/view/4092;Кадровая потребность  экономики Российской Арктики:   взгляд в будущее;И.П.Ефимов, В.А.Гуртов, И.С.Степусь
2022;8;115;2;25;551;0;https://www.vopreco.ru/jour/article/view/4093;Наукастинг: оценка изменения ключевых макроэкономических   показателей с использованием  методов машинного обучения;М.Ю.Гареев, А.В.Полбин
2022;9;66;2;29;558;1;https://www.vopreco.ru/jour/article/view/4128;Нефтяной рынок: конфликт между подъемом и энергетическим переходом;Л.М.Григорьев, Е.А.Хейфец
2022;9;69;1;19;761;0;https://www.vopreco.ru/jour/article/view/3929;Построение индикаторов макроэкономической неопределенности для России;И.В.Прилепский
2022;9;92;2;20;476;0;https://www.vopreco.ru/jour/article/view/3986;DSGE-модели с гетерогенными агентами: новый взгляд на особенности функционирования экономики;А.В.Полбин, Н.Д.Фокин
2022;9;131;4;20;573;1;https://www.vopreco.ru/jour/article/view/3276;Инновационная активность россиян на рабочем месте: индивидуальные характеристики сотрудников-инноваторов и организационный контекст;А.И.Нефедова, М.В.Чернышева, Л.С.Кузина, И.Б.Юдин
2022;9;104;1;16;265;0;https://www.vopreco.ru/jour/article/view/3835;Влияние антитраста на инновационное развитие при различных уровнях защиты интеллектуальной собственности;А.Н.Морозов
2022;9;71;2;16;339;0;https://www.vopreco.ru/jour/article/view/3872;Общегосударственные финансовые ресурсы: роль территорий (пример России);Б.Л.Лавровский, Е.А.Горюшкина
2022;9;80;3;14;432;0;https://www.vopreco.ru/jour/article/view/3887;Туристский потенциал российских территорий: позиция муниципальных органов власти;О.В.Рогач, Е.В.Фролова, Н.В.Медведева
2022;9;89;1;19;353;2;https://www.vopreco.ru/jour/article/view/3919;Патерналистское государство, академическая наука и научные журналы: теоретические заметки;А.Я.Рубинштейн
2022;10;51;2;15;548;1;https://www.vopreco.ru/jour/article/view/4160;Влияет ли неравенство доходов на инфляцию в России?;Ф.С.Картаев, М.А.Самсонова
2022;10;42;2;17;427;0;https://www.vopreco.ru/jour/article/view/3958;Понятие и перспективы финансового развития;К.В.Криничанский, Н.Е.Анненская
2022;10;66;1;29;216;0;https://www.vopreco.ru/jour/article/view/3747;Формирование Ломбардного списка как искажающий сигнал Банка России;О.В.Телегин
2022;10;37;2;20;237;0;https://www.vopreco.ru/jour/article/view/3799;К вопросу об отраслевой динамике фирм;А.В.Заздравных, И.М.Теняков
2022;10;81;3;27;388;0;https://www.vopreco.ru/jour/article/view/3916;Влияние пандемии COVID-19 на устойчивое развитие фармацевтических компаний России;И.С.Пылаева, М.В.Подшивалова, Д.В.Подшивалов
2022;10;28;1;25;265;0;https://www.vopreco.ru/jour/article/view/3803;Форма закупки имеет значение;Л.С.Плеханова
2022;10;54;2;19;428;1;https://www.vopreco.ru/jour/article/view/3846;Жизнь взаймы: институциональные аспекты и их измерение;А.В.Верников, А.А.Курышева
2022;11;49;1;19;520;0;https://www.vopreco.ru/jour/article/view/4032;Маржиналистская революция: событие, процесс, миф?;Н.А.Макашева
2022;11;64;1;33;523;1;https://www.vopreco.ru/jour/article/view/4108;Золушка или принцесса: прошлое и настоящее экономической истории;А.А.Мальцев
2022;11;101;1;16;265;0;https://www.vopreco.ru/jour/article/view/3794;«Куплено нефти на три алтына…»: восточные товары в России во второй половине XVII — начале XVIII века;А.Р.Мустафин
2022;11;81;2;17;304;0;https://www.vopreco.ru/jour/article/view/4049;Приватизация в отрасли с исчерпаемыми ресурсами при наличии иностранного капитала;А.А.Фридман, А.Д.Вербецкий
2022;11;111;2;27;309;0;https://www.vopreco.ru/jour/article/view/3698;Влияние отраслевых кластеров на результативность деятельности российских частных компаний: межотраслевой анализ;А.В.Зюзин, О.А.Демидова
2022;11;75;2;19;454;1;https://www.vopreco.ru/jour/article/view/3973;Академические репутации российских экономистов и их наукометрические оценки;М.М.Соколов, Е.А.Чечик
2022;11;47;2;13;859;3;https://www.vopreco.ru/jour/article/view/4101;Влияние ESG-факторов на финансовую стабильность;М.ИСтолбов, М.А.Щепелева
2022;11;68;3;12;243;0;https://www.vopreco.ru/jour/article/view/3708;Микроэкономический анализ двух способов разложения индекса стоимости;Г.Г.Ишбаев, А.В.Курицын, Н.А.Лазарева
2022;12;57;1;19;869;4;https://www.vopreco.ru/jour/article/view/4243;Российская экономика в условиях новых санкционных вызовов;М.В.Ершов
2022;12;94;2;20;822;2;https://www.vopreco.ru/jour/article/view/4123;Новая концепция международных резервов: безопасность, диверсификация, неортодоксальные подходы;Е.Ю.Винокуров, М.В.Гричик
2022;12;87;3;28;1520;2;https://www.vopreco.ru/jour/article/view/4006;Экономика экспортера-сырья в «новой реальности»: количественные и структурные параметры;М.С.Лымарь, А.А.Реентович, А.А.Синяков
2022;12;50;1;26;309;1;https://www.vopreco.ru/jour/article/view/4059;Эффективность бюджетного правила стран-экспортёров;М.Ю.Андреев
2022;12;47;2;20;946;0;https://www.vopreco.ru/jour/article/view/3884;Факторы роста пенсий в долгосрочной перспективе;Ю.М.Горлин, В.Ю.Ляшок
2022;12;54;2;19;786;0;https://www.vopreco.ru/jour/article/view/3806;Оценка стоимости недвижимости на основе больших данных;М.О.Мамедли, А.В.Умнов
2022;12;66;1;14;323;0;https://www.vopreco.ru/jour/article/view/4244;Кризис научных публикаций в период неолиберальной научной политики;В.Л.Тамбовцев
2022;12;50;0;6;413;0;https://www.vopreco.ru/jour/article/view/4245;Содержание журнала «Вопросы экономики» за 2022 год;
2021;1;67;1;28;1825;0;https://www.vopreco.ru/jour/article/view/3344;Основы теории аукционов (Нобелевская премия по экономике 2020 года);К.И.Сонин
2021;1;58;1;19;1357;7;https://www.vopreco.ru/jour/article/view/3345;Возможна ли единая институциональная экономическая теория?;В.Л.Тамбовцев
2021;1;81;1;21;1102;8;https://www.vopreco.ru/jour/article/view/3346;Кризис институтов политической конкуренции, интернет и коллаборативная демократия;В.М.Полтерович
2021;1;29;1;25;1602;11;https://www.vopreco.ru/jour/article/view/3347;Интеллектуальная теория фирмы;Г.Б.Клейнер
2021;1;55;2;22;1071;5;https://www.vopreco.ru/jour/article/view/3348;США: экономика и социальная структура перед сменой эпох;Л.М.Григорьев, Н.Л.Григорьева
2021;1;99;2;23;907;3;https://www.vopreco.ru/jour/article/view/3039;Национальная неоднородность в регионах России: оценка, изменение, влияние на экономическое развитие;А.Н.Буфетова, Е.А.Коломак
2021;1;48;2;18;1880;9;https://www.vopreco.ru/jour/article/view/2995;Бюджетный федерализм в России: быть или не быть?;Б.Л.Лавровский, Е.А.Горюшкина
2021;2;71;4;30;2118;18;https://www.vopreco.ru/jour/article/view/3397;Что мы (не) знаем об эффективности инструментов ДКП в современном мире?;Е.Л.Горюнов, С.М.Дробышевский, В.А.Мау, П.В.Трунин
2021;2;71;5;13;2715;2;https://www.vopreco.ru/jour/article/view/3050;Макроэкономическая политика в эпоху пандемии: что говорит модель IS-LM?;О.В.Буклемишев, Е.А.Зубова, М.Н.Качан, Г.С.Куровский, О.Н.Лаврентьева
2021;2;74;1;15;1008;0;https://www.vopreco.ru/jour/article/view/2660;Количественная оценка влияния бюджетного правила на равновесный курс рубля;Д.А.Меньших
2021;2;44;1;22;1288;0;https://www.vopreco.ru/jour/article/view/3398;О долге российского государственного сектора;И.В.Беляков
2021;2;85;1;17;922;1;https://www.vopreco.ru/jour/article/view/3095;К. Менгер и Дж. М. Кейнс о неопределенности и спросе на деньги: неожиданные параллели;А.В.Ковалёв
2021;2;38;1;31;1702;3;https://www.vopreco.ru/jour/article/view/3323;Маржинализм и марксизм: первая встреча;Р.И.Капелюшников
